Datetime,cape,cin,lift,k,total_totals,showalter
2016-08-03 09:00:00,105.5069129184839,-12.523325556051486,-270.05976826876656,26.3,38.7,5.611335497020718
2016-08-05 09:00:00,20.542441718913835,-217.89664555452975,-269.8835771721479,25.6,40.2,5.821788288844971
2016-08-06 09:00:00,9.497481988992217,-220.01630020509188,-270.2463886740507,-1.8999999999999984,37.2,7.073315078787653
2016-08-07 09:00:00,0.0,0.0,-269.6006455055821,-19.5,36.0,7.811971578342877
2016-08-08 09:00:00,0.0,0.0,-267.91008280911444,23.5,36.8,5.793526569396886
2016-08-09 09:00:00,18.227502328931013,-212.21220793349005,-269.8329855684888,25.3,39.6,4.749370465344339
2016-08-10 09:00:00,0.0,0.0,-265.7253680478674,26.8,37.1,5.391611300138459
2016-08-11 09:00:00,2.953331492497377,-13.586858869472382,-265.56073464942693,-6.0,34.3,10.848609553404184
2016-08-12 09:00:00,0.0,0.0,-265.31214965495474,-11.0,40.3,4.530315233935607
2016-08-14 09:00:00,0.0,0.0,-269.2401030178855,-15.099999999999998,37.2,7.653281512568906
2016-08-15 09:00:00,271.0797375789881,-526.3967739465676,-273.2481432826613,20.9,40.8,5.353806873955625
2016-08-16 09:00:00,17.438972323262085,-533.3683528004541,-272.9482857751945,8.100000000000001,44.400000000000006,3.343647517960175
2016-08-17 09:00:00,17.18511415387841,-563.8667978810364,-272.9979243172385,29.1,46.2,1.6410326261115191
2016-08-18 09:00:00,0.0,0.0,-272.3440778604151,34.5,50.0,-1.660919654252666
2016-08-19 09:00:00,10.886416189010768,-262.9023959737067,-274.15613637655383,28.0,47.3,0.156591270844796
2016-08-20 09:00:00,0.0,0.0,-270.4832614972755,23.90000000000001,39.2,4.907069163618257
2016-08-21 09:00:00,0.0,0.0,-270.4162665738765,37.7,45.4,-0.0816238316500177
2016-08-22 09:00:00,68.66722441431689,-1.375145484187035,-265.4551956807092,-25.8,34.3,9.79005218302546
2016-08-24 09:00:00,12.299221379033057,0.0,-267.64621991448223,-14.4,34.1,9.787316285789444
2016-08-25 09:00:00,0.0,0.0,-268.97643049345726,-22.5,33.2,10.238016717818756
2016-08-26 09:00:00,0.0,0.0,-269.8364213164399,-21.9,37.8,7.78063456242403
2016-08-27 09:00:00,0.0,0.0,-270.34169730159425,-20.5,40.0,6.5745016333132185
2016-08-28 09:00:00,49.7618513131008,-925.7680375710356,-271.4599424024506,-16.300000000000004,43.6,3.915216308652623
2016-08-29 09:00:00,132.93537867090512,-493.0311059070709,-275.29116407127464,-7.100000000000001,47.8,1.4942297254700403
2016-08-30 09:00:00,0.0210406279824817,-644.3549470317579,-267.8205162847999,-14.3,30.0,10.97061018015624
2016-08-31 09:00:00,98.54951754645612,-163.02829637586763,-271.4197635198471,30.8,40.6,3.712800154042872
2016-09-01 09:00:00,-55.03227965958513,-69.1602956058894,-273.2340600824704,32.4,44.6,1.4878635138775511
2016-09-02 09:00:00,106.38184626023812,-10.87850305694637,-272.5886445849761,14.0,42.3,2.817060285963475
2016-09-03 09:00:00,-208.04479963276972,0.0,-271.99515682680243,-1.8999999999999984,36.2,7.7727096581664
2016-09-04 09:00:00,0.4240913083820908,-135.83394126668892,-268.60103183267915,6.5,34.8,7.92458628789542
2016-09-05 09:00:00,667.6194710979366,-54.40056152409554,-273.71935548291725,29.7,38.8,5.232253936065286
2016-09-06 09:00:00,1.0192775313055178,-510.8271801168482,-270.5961136365984,22.7,34.599999999999994,8.545506357373688
2016-09-07 09:00:00,1288.4649391480418,-113.20767532313565,-276.6967390049264,30.1,46.6,1.5115071447286823
2016-09-08 09:00:00,-204.0269870572943,0.0,-271.6348092645059,27.200000000000003,42.1,2.542297496683977
2016-09-09 09:00:00,0.0,0.0,-272.64687823391176,25.200000000000003,52.5,-3.1904071100441804
2016-09-10 09:00:00,31.05566360171646,-22.836441804657177,-273.711131789273,14.700000000000005,47.4,0.2696641151404044
2016-09-11 09:00:00,964.8215885803492,0.0,-275.54612809577435,31.200000000000003,45.5,1.4723512287689111
2016-09-12 09:00:00,550.4547381660237,-200.29293410694925,-275.43037822498053,29.600000000000005,45.400000000000006,2.5326111208526303
2016-09-14 09:00:00,0.0,0.0,-265.7261818143722,17.3,31.6,9.613422569989677
2016-09-15 09:00:00,0.0,0.0,-267.06492527575426,10.700000000000005,28.6,12.024899682943248
2016-09-16 09:00:00,0.8212989387966404,-9.423481078339949,-268.34176199478617,22.1,36.2,6.91316346499425
2016-09-17 09:00:00,24.159004321125696,-603.0913219312174,-271.76330619760057,31.700000000000003,47.8,0.2712089033167562
2016-09-18 09:00:00,700.3079312669894,-408.9465455676026,-274.95853594215737,30.099999999999994,47.8,0.6226662583959417
2016-09-20 09:00:00,-82.49964102548076,-3.5147253421579023,-271.1824150299497,32.9,43.4,1.5329184151767894
2016-09-21 09:00:00,0.0,0.0,-265.98547338009865,-24.4,34.7,9.2385116214439
2016-09-22 09:00:00,125.56376168547796,-10.133130599934804,-269.3223294517322,-26.4,31.7,10.873590784849052
2016-09-23 09:00:00,0.0,0.0,-267.26095136063185,-22.1,35.2,8.261980321792475
2016-09-24 09:00:00,0.0,0.0,-270.9832580308496,30.000000000000004,43.3,2.4924843286225613
2016-09-25 09:00:00,0.0,0.0,-271.80685345107133,27.6,44.7,1.144545497270963
2016-09-27 09:00:00,35.413558151950085,-1.5321424877581198,-269.59171568407737,-0.2999999999999971,38.0,6.464481237469055
2016-09-28 09:00:00,13.596056707646852,0.0,-268.38938778715305,-0.0999999999999978,36.8,6.79212351717141
2016-09-29 09:00:00,0.0,0.0,-271.5979243172385,10.5,43.2,2.7835542698821776
2016-09-30 09:00:00,0.0,0.0,-268.5239057321407,26.700000000000003,40.6,3.610601379577849
2016-10-01 09:00:00,-182.72396613894568,-2.032746420488217,-270.3734259954817,28.8,41.900000000000006,4.060341530050902
2016-10-02 09:00:00,3.4330358625334227,0.0,-270.2743281639937,29.8,43.8,2.843372994455933
2016-10-03 09:00:00,0.0,0.0,-272.3180606772986,-16.6,45.1,2.6353317907628373
2016-10-04 09:00:00,0.0,0.0,-268.77186703024864,31.4,41.3,2.610868808448208
2016-10-05 09:00:00,19.569831314488404,0.0,-271.02247056200133,21.1,38.6,5.81709182461816
2016-10-06 09:00:00,0.0,0.0,-269.30147435135507,31.9,40.9,3.3957625527944284
2016-10-07 09:00:00,3.497413792487826,0.0,-272.614549860998,29.2,44.0,3.19212351717141
2016-10-08 09:00:00,0.1251902016668801,0.0,-270.00751730856155,-17.9,38.400000000000006,6.2318518673666965
2016-10-09 09:00:00,53.09118586953585,-50.6893595280336,-273.92316941801045,15.700000000000005,44.6,1.7586620120717722
2016-10-10 09:00:00,5.558592323903072,0.0,-267.2464078047432,22.0,34.6,7.866707434870238
2016-10-11 09:00:00,0.0,0.0,-271.774710593232,20.700000000000003,45.2,1.4288200654179375
2016-10-12 09:00:00,57.17169155975518,-141.48004276662016,-273.53518025469344,30.1,46.0,0.4392788522508564
2016-10-14 09:00:00,18.1002658508904,-326.2674469533095,-273.4023741523933,29.700000000000003,43.0,2.817647515942622
2016-10-15 09:00:00,146.78128918447118,-79.84801823505427,-274.13741958913766,35.5,45.1,0.0184247742688175
2016-10-16 10:00:00,371.6621888119362,-210.72157465012725,-274.1962019259571,33.3,44.0,0.98796130939819
