,Chuva,Dia,DirVento,HBV,Hora,Pressao,Temperatura,Umidade,VelVento,estacao,Geopotential_1000,Humidity_1000,Temperature_1000,WindU_1000,WindV_1000,Geopotential_700,Humidity_700,Temperature_700,WindU_700,WindV_700,Geopotential_200,Humidity_200,Temperature_200,WindU_200,WindV_200,CAPE,CIN,showalter,lift_index,k_index,total_totals,Wx,Wy,Day sin,Day cos,Year sin,Year cos
6080,0.0,2021-12-12,0.0,HBV,22:00:00,0.0,0.0,0.0,0.0,iraja,810.6582,87.69795,299.1515,-0.0900054,-1.8445567,30798.537,87.87062,281.11316,2.8427908,-2.0429113,121855.5,81.56462,220.60812,23.82389,13.003103,368.36187880775014,-241.87821509275426,0.0,-274.97524827599904,35.75833333333334,45.66666666666667,0.0,0.0,-0.5000000000060701,0.8660254037809341,-0.3160633466692786,0.9487380886694786
6081,0.0,2021-12-12,0.0,HBV,23:00:00,0.0,0.0,0.0,0.0,iraja,839.5596,86.668655,299.15457,-0.5904217,-1.6356512,30854.414,89.3056,281.2009,2.5646355,-2.7508688,121855.01,103.752914,220.34503,25.633818,11.145763,363.9457939378665,-247.75850062521533,0.0,-274.98320467270867,35.57916666666667,45.53333333333334,0.0,0.0,-0.2588190451143892,0.9659258262858882,-0.3153832267908659,0.9489643935675254
6082,0.0,2021-12-13,0.0,HBV,00:00:00,0.0,0.0,0.0,0.0,iraja,870.3877,86.65021,299.15024,-1.0428352,-1.6731066,30900.654,91.65087,281.25836,2.942085,-3.0573688,121904.99,92.12852,220.32333,26.744007,10.997845,359.5297090679829,-253.63878615767644,0.0,-274.99116106941835,35.400000000000006,45.400000000000006,0.0,0.0,-3.0130413811561453e-12,1.0,-0.31470294487587297,0.9491902109095169
6083,0.0,2021-12-13,0.0,HBV,01:00:00,0.0,0.0,0.0,0.0,iraja,882.91113,86.59992,299.18237,-0.51940346,-1.6683587,30904.99,92.35663,281.3214,3.4115953,-2.4923747,121924.92,70.605354,220.48259,28.25859,10.142436,523.2223841713899,-242.2284720286435,0.0,-275.2405356669028,35.325,45.25000000000001,0.0,0.0,0.25881904509451237,0.9659258262912142,-0.3140225012737591,0.9494155405794514
6084,0.0,2021-12-13,0.0,HBV,02:00:00,0.0,0.0,0.0,0.0,iraja,870.3877,86.784325,299.18237,0.017837524,-1.4868853,30882.832,90.20247,281.4969,3.1755252,-1.68735,121923.31,55.65528,220.65413,28.514555,8.851648,686.9150592747969,-230.81815789961058,0.0,-275.48991026438733,35.25000000000001,45.10000000000001,0.0,0.0,0.4999999999882491,0.8660254037912231,-0.3133418963341204,0.9496403824615597
6085,0.0,2021-12-13,0.0,HBV,03:00:00,0.0,0.0,0.0,0.0,iraja,824.1455,88.34169,299.0563,0.31769276,-1.3734643,30845.742,85.73659,281.73416,2.5232081,-1.6261556,121866.85,52.76205,220.81787,29.523268,9.287027,850.607734378204,-219.40784377057764,0.0,-275.7392848618718,35.175000000000004,44.95,0.0,0.0,0.7071067811835107,0.7071067811895844,-0.31266113040663607,0.9498647364403231
6086,0.0,2021-12-13,0.0,HBV,04:00:00,0.0,0.0,0.0,0.0,iraja,758.6367,89.82026,298.92038,0.44460535,-1.1555908,30789.867,83.3075,281.87195,2.043834,-2.0007083,121797.32,57.294434,220.8509,30.303278,10.7564335,1014.300409481611,-207.9975296415447,0.0,-275.98865945935626,35.1,44.800000000000004,0.0,0.0,0.8660254037796523,0.50000000000829,-0.311980203841068,0.9500886024004739
6087,0.0,2021-12-13,0.0,HBV,05:00:00,0.0,0.0,0.0,0.0,iraja,711.43066,90.59978,299.04272,0.47025108,-1.1719445,30747.479,79.96311,282.07404,2.17798,-2.2834692,121751.32,65.69613,220.90706,30.004906,10.926678,1177.993084585018,-196.58721551251176,0.0,-276.2380340568408,35.025000000000006,44.650000000000006,0.0,0.0,0.965925826288991,0.2588190451028091,-0.3112991169872605,0.9503119802269947
6088,0.0,2021-12-13,0.0,HBV,06:00:00,0.0,0.0,0.0,0.0,iraja,726.3633,90.50423,299.0285,0.4998417,-1.2526579,30762.893,78.99751,282.0981,2.7619088,-2.1589699,121759.734,70.323235,220.78413,29.754997,12.383524,1341.685759688425,-185.17690138347885,0.0,-276.48740865432524,34.95,44.5,0.0,0.0,1.0,5.576385532750664e-12,-0.31061787019514037,0.9505348698051193
6089,0.0,2021-12-13,0.0,HBV,07:00:00,0.0,0.0,0.0,0.0,iraja,757.1914,89.85546,299.00317,0.33478975,-1.3381193,30799.5,78.861725,282.1037,3.197225,-1.713727,121771.58,73.39356,220.75865,29.903427,12.5565605,1505.378434791832,-173.7665872544459,0.0,-276.7367832518097,34.875,44.35,0.0,0.0,0.9659258262918776,-0.25881904509203635,-0.3099364638147164,0.9507572710203319
6090,0.0,2021-12-13,0.0,HBV,08:00:00,0.0,0.0,0.0,0.0,iraja,801.50684,88.752396,299.02234,0.11647415,-1.4399343,30850.559,78.58848,282.09998,3.1406734,-1.1824952,121804.13,71.20047,220.7393,29.64292,12.553768,1669.071109895239,-162.356273125413,0.0,-276.9861578492942,34.800000000000004,44.2,0.0,0.0,0.8660254037852287,-0.4999999999986315,-0.3092548981960796,0.9509791837583683
6091,0.0,2021-12-13,0.0,HBV,09:00:00,0.0,0.0,0.0,0.0,iraja,851.60156,88.09526,299.1286,-0.020959377,-1.3375916,30901.137,78.88855,282.05548,2.8664637,-0.5420629,121853.29,72.077705,220.6723,28.419136,12.306774,1832.763784998646,-150.94595899638006,0.0,-277.2355324467787,34.725,44.050000000000004,0.0,0.0,0.7071067811913969,-0.7071067811816981,-0.3085731736894026,0.9512006079052145
6092,0.0,2021-12-13,0.0,HBV,10:00:00,0.0,0.0,0.0,0.0,iraja,865.08887,84.76763,299.19968,-0.08540201,-1.091231,30949.787,89.82026,282.17474,2.6014597,0.16958725,121992.46,66.968735,220.76596,25.739838,12.1142025,1996.4564601020531,-139.53564486734712,0.0,-277.48490704426314,34.65,43.900000000000006,0.0,0.0,0.50000000001051,-0.8660254037783707,-0.30789129064493986,0.9514215433471082
6093,0.0,2021-12-13,0.0,HBV,11:00:00,0.0,0.0,0.0,0.0,iraja,886.2832,73.55429,300.4596,-0.1985054,-1.3054118,30982.059,89.7599,282.16052,1.9050851,-0.4761206,122068.58,63.87988,220.75464,25.108257,12.644472,2160.1491352054604,-128.12533073831418,0.0,-277.73428164174766,34.575,43.75,0.0,0.0,0.25881904510528514,-0.9659258262883276,-0.307209249413027,0.9516419899705375
6094,0.0,2021-12-13,0.0,HBV,12:00:00,0.0,0.0,0.0,0.0,iraja,898.80664,64.53534,301.98465,0.16184711,-1.6340686,30998.438,87.81027,282.28412,1.4329445,-1.4995462,122076.66,76.85103,220.56424,24.635708,13.145439,2323.841810308867,-116.71501660928128,0.0,-277.9836562392321,34.5,43.6,0.0,0.0,8.139729684345183e-12,-1.0,-0.30652705034408123,0.9518619476622422
6095,0.0,2021-12-13,0.0,HBV,13:00:00,0.0,0.0,0.0,0.0,iraja,931.5615,60.428196,302.98383,0.9239793,-1.9242151,31038.898,92.67346,281.8077,1.933361,-2.7387352,122112.75,95.10618,220.4038,24.326733,14.3106365,2164.0194870800715,-110.72248108899804,0.0,-277.7505076743024,34.733333333333334,43.675000000000004,0.0,0.0,-0.2588190450895604,-0.965925826292541,-0.30584469378854656,0.9520814163092305
6096,0.0,2021-12-13,0.0,HBV,14:00:00,0.0,0.0,0.0,0.0,iraja,914.7031,57.955524,303.77722,1.661124,-1.8134319,31017.223,92.1102,281.9733,2.9190698,-3.269967,122142.92,106.24048,220.53073,25.034042,16.03541,2004.197163851276,-104.72994556871481,0.0,-277.5173591093727,34.96666666666667,43.75,0.0,0.0,-0.4999999999964116,-0.8660254037865104,-0.3051621800971102,0.9523003957987095
6097,0.0,2021-12-13,0.0,HBV,15:00:00,0.0,0.0,0.0,0.0,iraja,874.72266,59.27652,304.1764,1.7663362,-0.81743824,30994.582,95.32718,281.98874,3.7272327,-4.3962626,122189.92,112.73944,220.68126,24.403976,16.572657,1844.3748406224806,-98.73741004843157,0.0,-277.284210544443,35.2,43.825,0.0,0.0,-0.7071067811798856,-0.7071067811932095,-0.304479509620378,0.9525188860181902
6098,0.0,2021-12-13,0.0,HBV,16:00:00,0.0,0.0,0.0,0.0,iraja,833.7793,63.94525,303.44974,1.6413965,1.466278,30950.27,94.594604,282.20935,4.0902157,-5.393839,122207.3,110.70285,220.7124,21.680756,15.994942,1684.552517393685,-92.74487452814833,0.0,-277.0510619795133,35.43333333333333,43.9,0.0,0.0,-0.866025403784365,-0.5000000000001276,-0.3037966827090902,0.9527368868554174
6099,0.0,2021-12-13,0.0,HBV,17:00:00,0.0,0.0,0.0,0.0,iraja,804.8779,74.49977,301.41678,0.14935303,2.622116,30896.32,85.67288,282.4948,5.2639914,-4.8589144,122247.55,100.08748,221.13853,19.858713,16.187513,1524.7301941648896,-86.75233900786509,0.0,-276.8179134145836,35.666666666666664,43.975,0.0,0.0,-0.9659258262876641,-0.2588190451077611,-0.3031136997140676,0.9529543981983871
6100,0.0,2021-12-13,0.0,HBV,18:00:00,0.0,0.0,0.0,0.0,iraja,846.3037,76.952324,300.68515,-0.21494484,1.4414836,30896.8,81.69817,282.67465,5.543462,-3.5522003,122283.805,99.93303,221.30911,19.039322,14.624613,1364.9078709360942,-80.75980348758185,0.0,-276.5847648496539,35.9,44.05,0.0,0.0,-1.0,-1.0703073835939702e-11,-0.302430560986211,0.953171419935347
6101,0.0,2021-12-13,0.0,HBV,19:00:00,0.0,0.0,0.0,0.0,iraja,836.6699,77.686584,300.22852,-0.38196993,1.4356807,30851.523,84.83134,282.36322,4.8950906,-2.9265392,122304.01,98.557465,221.27585,18.903011,13.464996,1205.0855477072987,-74.76726796729862,0.0,-276.3516162847242,36.13333333333333,44.125,0.0,0.0,-0.9659258262894381,0.25881904510114045,-0.30174726687650155,0.9533879519547965
6102,0.0,2021-12-13,0.0,HBV,20:00:00,0.0,0.0,0.0,0.0,iraja,870.3877,82.46931,299.5247,-0.44575453,1.0273656,30865.01,87.086075,282.1457,3.9376574,-2.7656398,122347.91,91.04742,221.19138,19.779955,13.557095,1045.2632244785032,-68.77473244701538,0.0,-276.11846771979447,36.36666666666667,44.2,0.0,0.0,-0.866025403787792,0.49999999999419165,-0.30106381773599983,0.9536039941454862
